symbol,category,horizon,model,ml_return,bh_return,ml_sharpe,bh_sharpe,return_diff,sharpe_diff,beats_bh_return,beats_bh_sharpe
NVDA,growth,5,Logistic Regression,0.0,0.36619422671863733,0.0,0.8889737807530426,-0.36619422671863733,-0.8889737807530426,False,False
NVDA,growth,5,Decision Tree,0.38459190485342654,0.36619422671863733,0.984408860239758,0.8889737807530426,0.018397678134789208,0.09543507948671548,True,True
NVDA,growth,5,Random Forest,0.4040924367680605,0.36619422671863733,1.5307878192590196,0.8889737807530426,0.037898210049423176,0.6418140385059771,True,True
NVDA,growth,5,XGBoost,0.2913048464082062,0.36619422671863733,1.0945395983816582,0.8889737807530426,-0.07488938031043113,0.2055658176286156,False,True
NVDA,growth,10,Logistic Regression,0.0,0.36619422671863733,0.0,0.8889737807530426,-0.36619422671863733,-0.8889737807530426,False,False
NVDA,growth,10,Decision Tree,0.2244731692914128,0.36619422671863733,1.166447391743172,0.8889737807530426,-0.14172105742722452,0.27747361099012935,False,True
NVDA,growth,10,Random Forest,0.081860030154844,0.36619422671863733,0.7725479026697969,0.8889737807530426,-0.28433419656379333,-0.11642587808324567,False,False
NVDA,growth,10,XGBoost,0.0769931247753648,0.36619422671863733,0.5945282726522978,0.8889737807530426,-0.28920110194327253,-0.29444550810074477,False,False
TSLA,growth,5,Logistic Regression,0.07681114271631473,0.07884119384457144,0.41114460517248874,0.438532152133163,-0.0020300511282567157,-0.027387546960674247,False,False
TSLA,growth,5,Decision Tree,-0.05462097425153789,0.07884119384457144,-0.00039679988438390674,0.438532152133163,-0.13346216809610933,-0.4389289520175469,False,False
TSLA,growth,5,Random Forest,-0.057675294633171115,0.07884119384457144,-0.18156047945084133,0.438532152133163,-0.13651648847774256,-0.6200926315840043,False,False
TSLA,growth,5,XGBoost,-0.1523501061063156,0.07884119384457144,-0.2140428925229583,0.438532152133163,-0.23119129995088705,-0.6525750446561213,False,False
TSLA,growth,10,Logistic Regression,0.14264011912305508,0.07884119384457144,0.5389323055633414,0.438532152133163,0.06379892527848363,0.10040015343017838,True,True
TSLA,growth,10,Decision Tree,-0.03779478440143624,0.07884119384457144,-0.25167181176101244,0.438532152133163,-0.11663597824600769,-0.6902039638941755,False,False
TSLA,growth,10,Random Forest,0.26434682426854894,0.07884119384457144,0.8876283520931472,0.438532152133163,0.1855056304239775,0.4490961999599842,True,True
TSLA,growth,10,XGBoost,0.6871856470166198,0.07884119384457144,1.4201204957723996,0.438532152133163,0.6083444531720483,0.9815883436392366,True,True
GOOGL,growth,5,Logistic Regression,0.0,0.6343522285222323,0.0,1.7085798432253254,-0.6343522285222323,-1.7085798432253254,False,False
GOOGL,growth,5,Decision Tree,0.4787534865296703,0.6343522285222323,1.9629177316351925,1.7085798432253254,-0.15559874199256196,0.25433788840986704,False,True
GOOGL,growth,5,Random Forest,0.0,0.6343522285222323,0.0,1.7085798432253254,-0.6343522285222323,-1.7085798432253254,False,False
GOOGL,growth,5,XGBoost,0.003619870565372718,0.6343522285222323,0.17835076597897165,1.7085798432253254,-0.6307323579568596,-1.5302290772463538,False,False
GOOGL,growth,10,Logistic Regression,0.0,0.6343522285222323,0.0,1.7085798432253254,-0.6343522285222323,-1.7085798432253254,False,False
GOOGL,growth,10,Decision Tree,0.025457512661081427,0.6343522285222323,0.2258744934647865,1.7085798432253254,-0.6088947158611508,-1.482705349760539,False,False
GOOGL,growth,10,Random Forest,0.0,0.6343522285222323,0.0,1.7085798432253254,-0.6343522285222323,-1.7085798432253254,False,False
GOOGL,growth,10,XGBoost,-0.01580618963204672,0.6343522285222323,-0.21387269831335703,1.7085798432253254,-0.650158418154279,-1.9224525415386824,False,False
META,growth,5,Logistic Regression,0.3125192774040084,-0.03985856907502139,1.36502479371316,0.07442470046649427,0.3523778464790298,1.290600093246666,True,True
META,growth,5,Decision Tree,-0.03887487012023383,-0.03985856907502139,0.07751808928692737,0.07442470046649427,0.0009836989547875596,0.003093388820433099,True,True
META,growth,5,Random Forest,0.10400131901641751,-0.03985856907502139,0.5176000260184617,0.07442470046649427,0.1438598880914389,0.44317532555196737,True,True
META,growth,5,XGBoost,-0.13486641843687908,-0.03985856907502139,-0.3034504682109406,0.07442470046649427,-0.09500784936185769,-0.37787516867743487,False,False
META,growth,10,Logistic Regression,0.12669677160315218,-0.03985856907502139,0.8460947185861076,0.07442470046649427,0.16655534067817357,0.7716700181196133,True,True
META,growth,10,Decision Tree,-0.03887487012023383,-0.03985856907502139,0.07751808928692737,0.07442470046649427,0.0009836989547875596,0.003093388820433099,True,True
META,growth,10,Random Forest,-0.03887487012023383,-0.03985856907502139,0.07751808928692737,0.07442470046649427,0.0009836989547875596,0.003093388820433099,True,True
META,growth,10,XGBoost,-0.005212484146217999,-0.03985856907502139,0.18070867572618837,0.07442470046649427,0.03464608492880339,0.1062839752596941,True,True
AMZN,growth,5,Logistic Regression,0.0,0.008163525738960953,0.0,0.19529127521348894,-0.008163525738960953,-0.19529127521348894,False,False
AMZN,growth,5,Decision Tree,-0.16927980070237048,0.008163525738960953,-1.252180511266436,0.19529127521348894,-0.17744332644133143,-1.447471786479925,False,False
AMZN,growth,5,Random Forest,0.0,0.008163525738960953,0.0,0.19529127521348894,-0.008163525738960953,-0.19529127521348894,False,False
AMZN,growth,5,XGBoost,0.10086257729214743,0.008163525738960953,0.7464353295543942,0.19529127521348894,0.09269905155318647,0.5511440543409052,True,True
AMZN,growth,10,Logistic Regression,0.0,0.008163525738960953,0.0,0.19529127521348894,-0.008163525738960953,-0.19529127521348894,False,False
