symbol,horizon,model,train_accuracy,train_roc_auc,test_sharpe,test_return,overfit_score
NVDA,5,Decision Tree,0.5101214574898786,0.41042356512141276,0.984408860239758,0.38459190485342654,-0.47428740274987946
NVDA,5,Random Forest,0.3684210526315789,0.4531594922737307,1.5307878192590196,0.4040924367680605,-1.1623667666274407
NVDA,5,XGBoost,0.44129554655870445,0.46033388520971297,1.0945395983816582,0.2913048464082062,-0.6532440518229536
NVDA,10,Decision Tree,0.3319838056680162,0.6048410938654841,1.166447391743172,0.2244731692914128,-0.8344635860751557
NVDA,10,Random Forest,0.340080971659919,0.4294161123429416,0.7725479026697969,0.081860030154844,-0.4324669310098779
NVDA,10,XGBoost,0.3684210526315789,0.44730229120473025,0.5945282726522978,0.0769931247753648,-0.22610722002071887
TSLA,5,Logistic Regression,0.5748987854251012,0.5720844811753902,0.41114460517248874,0.07681114271631473,0.16375418025261246
TSLA,5,Decision Tree,0.4898785425101215,0.5104617604617605,-0.00039679988438390674,-0.05462097425153789,0.4898785425101215
TSLA,5,Random Forest,0.46558704453441296,0.4618916437098255,-0.18156047945084133,-0.057675294633171115,0.46558704453441296
TSLA,5,XGBoost,0.4574898785425101,0.4831431195067559,-0.2140428925229583,-0.1523501061063156,0.4574898785425101
TSLA,10,Logistic Regression,0.5789473684210527,0.5628968253968254,0.5389323055633414,0.14264011912305508,0.04001506285771128
TSLA,10,Decision Tree,0.4534412955465587,0.3996693121693122,-0.25167181176101244,-0.03779478440143624,0.4534412955465587
TSLA,10,Random Forest,0.46963562753036436,0.47989417989417993,0.8876283520931472,0.26434682426854894,-0.4179927245627828
TSLA,10,XGBoost,0.5222672064777328,0.5125661375661374,1.4201204957723996,0.6871856470166198,-0.8978532892946668
GOOGL,5,Decision Tree,0.47368421052631576,0.44919768069039917,1.9629177316351925,0.4787534865296703,-1.4892335211088767
GOOGL,5,XGBoost,0.4251012145748988,0.466356526429342,0.17835076597897165,0.003619870565372718,0.24675044859592715
GOOGL,10,Decision Tree,0.4331983805668016,0.4375977812544446,0.2258744934647865,0.025457512661081427,0.2073238871020151
GOOGL,10,XGBoost,0.31983805668016196,0.38237804010809273,-0.21387269831335703,-0.01580618963204672,0.31983805668016196
META,5,Logistic Regression,0.5396039603960396,0.5354864837501266,1.36502479371316,0.3125192774040084,-0.8254208333171205
META,5,Decision Tree,0.6336633663366337,0.5565961324288752,0.07751808928692737,-0.03887487012023383,0.5561452770497063
META,5,Random Forest,0.5594059405940595,0.5560392831831528,0.5176000260184617,0.10400131901641751,0.04180591457559779
META,5,XGBoost,0.5544554455445545,0.5753771388073301,-0.3034504682109406,-0.13486641843687908,0.5544554455445545
META,10,Logistic Regression,0.4752475247524752,0.5427845528455284,0.8460947185861076,0.12669677160315218,-0.3708471938336324
META,10,Decision Tree,0.6386138613861386,0.6603150406504066,0.07751808928692737,-0.03887487012023383,0.5610957720992112
META,10,Random Forest,0.5792079207920792,0.5879065040650406,0.07751808928692737,-0.03887487012023383,0.5016898315051518
META,10,XGBoost,0.5891089108910891,0.6340447154471544,0.18070867572618837,-0.005212484146217999,0.4084002351649007
AMZN,5,Decision Tree,0.5263157894736842,0.6429497679497679,-1.252180511266436,-0.16927980070237048,0.5263157894736842
AMZN,5,XGBoost,0.4574898785425101,0.5808080808080808,0.7464353295543942,0.10086257729214743,-0.28894545101188407
AMZN,10,Decision Tree,0.3441295546558704,0.4104130931961121,-0.1548290086672998,-0.015612826067878727,0.3441295546558704
AMZN,10,XGBoost,0.46153846153846156,0.7405660377358492,-0.2331287106587652,-0.011707976048291657,0.46153846153846156
JPM,5,XGBoost,0.38461538461538464,0.5990799716914368,0.36850719742870236,0.04530483346593783,0.016108187186682277
JPM,10,Decision Tree,0.4534412955465587,0.5007822500355568,0.7081974353122568,0.09800831617170846,-0.25475613976569805
JPM,10,XGBoost,0.3562753036437247,0.5147205233963874,0.9981614938750903,0.12340393361262536,-0.6418861902313657
BAC,5,Logistic Regression,0.582995951417004,0.5935091277890466,1.80206713854911,0.1642420573791108,-1.219071187132106
BAC,5,Decision Tree,0.5141700404858299,0.5271467207572684,-0.9140380163317618,-0.1085437456338989,0.5141700404858299
BAC,5,Random Forest,0.5020242914979757,0.5237322515212981,1.6160791374131669,0.16706709667323638,-1.114054845915191
BAC,5,XGBoost,0.47368421052631576,0.48350236646382694,-0.007832592201889763,-0.018168671019148208,0.47368421052631576
BAC,10,Logistic Regression,0.5587044534412956,0.5594625500285878,1.2435635045481768,0.12222142074445141,-0.6848590511068812
BAC,10,Decision Tree,0.4089068825910931,0.46626643796455114,1.1109304413239447,0.19123419341849068,-0.7020235587328516
BAC,10,Random Forest,0.4939271255060729,0.5570325900514579,1.5081890760510501,0.02305386607142834,-1.0142619505449773
BAC,10,XGBoost,0.4777327935222672,0.5727558604917096,1.129125296613594,0.12401093964451437,-0.6513925030913268
WFC,5,Logistic Regression,0.4331983805668016,0.5754527162977867,1.8326966418896335,0.10745960781689745,-1.399498261322832
WFC,5,Decision Tree,0.42105263157894735,0.5426894701542588,0.9967796537971355,0.10997911306249275,-0.5757270222181882
WFC,5,XGBoost,0.4534412955465587,0.5299128101945002,1.4716356010856795,0.11822977741995122,-1.0181943055391207
WFC,10,Decision Tree,0.4493927125506073,0.5559161595672751,-0.13098599893245147,-0.012610100948571623,0.4493927125506073
WFC,10,XGBoost,0.4291497975708502,0.5153482082488168,1.5634369233924448,0.12890008481487958,-1.1342871258215945
